Country Name,Country Code,Time,Time Code,Total GHG emissions by sector (Mt CO2 eq) - Total including LUCF [CC.GHG.EMSE.IL],Total GHG emissions by sector (Mt CO2 eq) - Agriculture [CC.GHG.EMSE.AG],Total GHG emissions by sector (Mt CO2 eq) - Building [CC.GHG.EMSE.BL],Total GHG emissions by sector (Mt CO2 eq) - Electricity/Heat [CC.GHG.EMSE.EH],Total GHG emissions by sector (Mt CO2 eq) - Energy [CC.GHG.EMSE.EN],Total GHG emissions by sector (Mt CO2 eq) - Industrial Processes [CC.GHG.EMSE.IP],Total GHG emissions by sector (Mt CO2 eq) - Manufacturing/Construction [CC.GHG.EMSE.MC],Total GHG emissions by sector (Mt CO2 eq) - Transportation [CC.GHG.EMSE.TR],Agricultural land (% of land area) [AG.LND.AGRI.ZS],"Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]","Population, total [SP.POP.TOTL]",Urban population (% of total population) [SP.URB.TOTL.IN.ZS],Per capita GHG emissions (tons/capita) [CC.GHG.PECA],GHG growth (annual %) [CC.GHG.GRPE],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],Electricity net consumption [CC.ELEC.CON]
Argentina,ARG,2005,YR2005,410.92,130.32,22.64,50.5,158.69,8.87,20.43,37.71,47.4737365211259,..,38892924,90.031,10.57,1.1,8.85165992013437,198737095012.282,5109.85224490403,88.60108
Argentina,ARG,2006,YR2006,425.42,133.64,22.65,53.81,167.1,11.38,22.12,40.55,47.5533947944415,..,39289876,90.2,10.83,3.53,8.04715150043027,232557260817.308,5919.01233837714,99.04709
Argentina,ARG,2007,YR2007,438.82,136.63,26.5,54.34,175.07,13.55,21.09,43.88,47.4910932549905,..,39684303,90.366,11.06,3.15,9.00765087504757,287530508430.568,7245.44685667197,100.1531
Argentina,ARG,2008,YR2008,442.98,133.99,25.15,59.04,179.57,15.45,20.68,45.85,46.4235627710848,..,40080159,90.53,11.05,0.95,4.05723310346406,361558037110.419,9020.87332314274,103.7001
Argentina,ARG,2009,YR2009,424.07,123.5,24.72,57.17,168.96,17.22,17.56,42.02,45.4302094866426,..,40482786,90.691,10.48,-4.27,-5.91852507634947,332976484577.619,8225.13758261645,104.3041
Argentina,ARG,2010,YR2010,429.81,116.64,28.22,59.38,179.19,19.57,19.05,44.2,46.1389123357048,..,40788453,90.849,10.54,1.35,10.1253981561002,423627422092.49,10385.9644319555,111.17157
Argentina,ARG,2011,YR2011,410.64,116.87,28.31,64.48,187.64,20.79,20.71,45.67,45.7919603608739,..,41261490,90.99,9.95,-4.46,6.00395169280579,530163281574.658,12848.8641969705,113.58529
Argentina,ARG,2012,YR2012,414.84,118.87,29.78,67.52,189.03,21.22,19.2,44.82,45.5813044224958,..,41733271,91.121,9.94,1.02,-1.0264204544321,545982375701.128,13082.664325572,117.71058
Argentina,ARG,2013,YR2013,424.7,121.78,30.93,64.94,193.79,22.48,21.13,47.74,44.9219312381015,..,42202935,91.249,10.06,2.38,2.40532378079436,552025140252.246,13080.2547323367,117.67703
Argentina,ARG,2014,YR2014,421.76,122.91,29.87,66.95,189.63,23.11,21.37,44.06,43.8533045394254,..,42669500,91.377,9.88,-0.69,-2.51261532081394,526319673731.638,12334.7982453893,123.42653
